username,total_attempts,failures,failure_rate,unique_ips,odd_hours,z_score
jamie59,20,6,0.300,1,9,2.27
timothy59,20,6,0.300,1,1,2.27
lisa72,22,6,0.273,1,3,2.00
vazquezjudith,23,6,0.261,1,7,1.88
jmahoney,23,6,0.261,1,2,1.88
johnbenton,23,6,0.261,1,2,1.88
miguel80,21,2,0.095,1,5,-0.47,
ykaufman,21,2,0.095,1,5,-0.47,
cervantesmichael,21,2,0.095,3,4,-0.47,
nmorgan,21,2,0.095,1,1,-0.47,
wyattmarcus,21,2,0.095,2,2,-0.47,
elizabeth26,21,2,0.095,1,3,-0.47,
dkent,21,2,0.095,2,5,-0.47,
hbrown,21,2,0.095,1,3,-0.47,
bradleycarmen,21,2,0.095,1,6,-0.47,
debbie57,22,2,0.091,1,3,-0.54,
barbara56,22,2,0.091,2,6,-0.54,
lori76,22,2,0.091,1,3,-0.54,
kevinrose,22,2,0.091,1,3,-0.54,
qkent,22,2,0.091,1,4,-0.54,
amy40,22,2,0.091,2,4,-0.54,
qwinters,15,1,0.067,1,3,-0.72,
lindaandrade,15,1,0.067,2,7,-0.72,
ysuarez,16,1,0.062,1,4,-0.80,
william33,17,1,0.059,1,4,-0.87,
kiaramorris,17,1,0.059,2,3,-0.87,
jessicapowell,18,1,0.056,1,5,-0.93,
gdixon,18,1,0.056,1,3,-0.93,
judy39,18,1,0.056,1,3,-0.93,
duane91,18,1,0.056,1,4,-0.93,
katie67,18,1,0.056,1,2,-0.93,
fjames,18,1,0.056,1,1,-0.93,
shawnmatthews,18,1,0.056,1,5,-0.93,
garypeterson,19,1,0.053,1,2,-1.00,
snydertara,19,1,0.053,1,3,-1.00,
kristykent,19,1,0.053,3,6,-1.00,
larsenvictoria,19,1,0.053,1,3,-1.00,
alexander06,19,1,0.053,1,7,-1.00,
kathleenbarnett,19,1,0.053,1,5,-1.00,
fmiller,19,1,0.053,2,5,-1.00,
jacksonmichael,19,1,0.053,1,5,-1.00,
peter57,19,1,0.053,1,1,-1.00,
ijones,19,1,0.053,1,4,-1.00,
wellsfrederick,19,1,0.053,2,3,-1.00,
gcampbell,20,1,0.050,1,5,-1.06,
gambleangela,20,1,0.050,2,1,-1.06,
lhogan,20,1,0.050,1,4,-1.06,
tracyclark,20,1,0.050,1,1,-1.06,
angelabarry,20,1,0.050,1,4,-1.06,
reneebarrett,20,1,0.050,1,6,-1.06,
shelly82,20,1,0.050,1,5,-1.06,
jonesshawn,21,1,0.048,3,6,-1.12,
uknight,21,1,0.048,1,3,-1.12,
lori84,21,1,0.048,1,2,-1.12,
kathleengibson,21,1,0.048,1,6,-1.12,
benjamin02,18,0,0.000,1,5,-1.64,
robertssteven,19,0,0.000,1,6,-1.68,
sreyes,18,0,0.000,1,3,-1.64,
hkelly,18,0,0.000,1,6,-1.64,
clewis,17,0,0.000,1,1,-1.59,
gwendolyn93,19,0,0.000,1,4,-1.68,
smithalicia,17,0,0.000,1,2,-1.59,
moodylisa,17,0,0.000,2,4,-1.59,
lewislauren,20,0,0.000,1,7,-1.72,
alfredsimon,17,0,0.000,1,2,-1.59,
wsanchez,17,0,0.000,1,4,-1.59,
smithphillip,19,0,0.000,1,7,-1.68,
michaellopez,20,0,0.000,1,4,-1.72,
lopezpatrick,18,0,0.000,2,6,-1.64,
nelsoncaitlyn,19,0,0.000,1,4,-1.68,
millercraig,18,0,0.000,1,5,-1.64,
cynthia13,14,0,0.000,1,1,-1.44,

